2025-02-19 15:10:55,283 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : Install docker-compose-plugin (with downgrade option).] ******************************************************************************************************************************************************************************************************
2025-02-19 15:10:56,305 p=12012 u=marwiesing n=ansible | ok: [ubuntu-01]
2025-02-19 15:10:56,362 p=12012 u=marwiesing n=ansible | ok: [ubuntu-02]
2025-02-19 15:10:56,400 p=12012 u=marwiesing n=ansible | ok: [rocky-01]
2025-02-19 15:10:56,408 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure /etc/docker/ directory exists.] ***********************************************************************************************************************************************************************************************************************
2025-02-19 15:10:56,481 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:10:56,482 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-02]
2025-02-19 15:10:56,493 p=12012 u=marwiesing n=ansible | skipping: [rocky-01]
2025-02-19 15:10:56,502 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : Configure Docker daemon options.] ****************************************************************************************************************************************************************************************************************************
2025-02-19 15:10:56,583 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:10:56,586 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-02]
2025-02-19 15:10:56,609 p=12012 u=marwiesing n=ansible | skipping: [rocky-01]
2025-02-19 15:10:56,620 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure Docker is started and enabled at boot.] ***************************************************************************************************************************************************************************************************************
2025-02-19 15:10:57,331 p=12012 u=marwiesing n=ansible | ok: [ubuntu-02]
2025-02-19 15:10:57,339 p=12012 u=marwiesing n=ansible | ok: [ubuntu-01]
2025-02-19 15:10:58,668 p=12012 u=marwiesing n=ansible | changed: [rocky-01]
2025-02-19 15:10:58,673 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure handlers are notified now to avoid firewall conflicts.] ***********************************************************************************************************************************************************************************************
2025-02-19 15:10:58,678 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure handlers are notified now to avoid firewall conflicts.] ***********************************************************************************************************************************************************************************************
2025-02-19 15:10:58,684 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure handlers are notified now to avoid firewall conflicts.] ***********************************************************************************************************************************************************************************************
2025-02-19 15:10:58,689 p=12012 u=marwiesing n=ansible | RUNNING HANDLER [geerlingguy.docker : restart docker] ***********************************************************************************************************************************************************************************************************************************
2025-02-19 15:10:59,787 p=12012 u=marwiesing n=ansible | changed: [ubuntu-01]
2025-02-19 15:10:59,915 p=12012 u=marwiesing n=ansible | changed: [ubuntu-02]
2025-02-19 15:11:00,376 p=12012 u=marwiesing n=ansible | changed: [rocky-01]
2025-02-19 15:11:00,380 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : include_tasks] ***********************************************************************************************************************************************************************************************************************************************
2025-02-19 15:11:00,437 p=12012 u=marwiesing n=ansible | skipping: [rocky-01]
2025-02-19 15:11:00,437 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:11:00,457 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-02]
2025-02-19 15:11:00,464 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : Get docker group info using getent.] *************************************************************************************************************************************************************************************************************************
2025-02-19 15:11:00,542 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:11:00,546 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-02]
2025-02-19 15:11:00,576 p=12012 u=marwiesing n=ansible | skipping: [rocky-01]
2025-02-19 15:11:00,584 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : Check if there are any users to add to the docker group.] ****************************************************************************************************************************************************************************************************
2025-02-19 15:11:00,611 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:11:00,636 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-02]
2025-02-19 15:11:00,647 p=12012 u=marwiesing n=ansible | skipping: [rocky-01]
2025-02-19 15:11:00,657 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : include_tasks] ***********************************************************************************************************************************************************************************************************************************************
2025-02-19 15:11:00,692 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:11:00,712 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-02]
2025-02-19 15:11:00,722 p=12012 u=marwiesing n=ansible | skipping: [rocky-01]
2025-02-19 15:11:00,745 p=12012 u=marwiesing n=ansible | TASK [Add user marwiesing to the docker group] ******************************************************************************************************************************************************************************************************************************************
2025-02-19 15:11:01,345 p=12012 u=marwiesing n=ansible | changed: [ubuntu-02]
2025-02-19 15:11:01,366 p=12012 u=marwiesing n=ansible | changed: [ubuntu-01]
2025-02-19 15:11:01,391 p=12012 u=marwiesing n=ansible | changed: [rocky-01]
2025-02-19 15:11:01,443 p=12012 u=marwiesing n=ansible | PLAY RECAP ******************************************************************************************************************************************************************************************************************************************************************************
2025-02-19 15:11:01,443 p=12012 u=marwiesing n=ansible | rocky-01                   : ok=13   changed=6    unreachable=0    failed=0    skipped=12   rescued=0    ignored=0   
2025-02-19 15:11:01,444 p=12012 u=marwiesing n=ansible | ubuntu-01                  : ok=16   changed=5    unreachable=0    failed=0    skipped=11   rescued=0    ignored=0   
2025-02-19 15:11:01,444 p=12012 u=marwiesing n=ansible | ubuntu-02                  : ok=16   changed=6    unreachable=0    failed=0    skipped=11   rescued=0    ignored=0   
2025-02-19 15:14:37,149 p=12405 u=marwiesing n=ansible | [WARNING]: Found both group and host with same name: localhost

2025-02-19 15:14:37,304 p=12405 u=marwiesing n=ansible | PLAY [Install Docker on all machines] ***************************************************************************************************************************************************************************************************************************************************
2025-02-19 15:14:37,310 p=12405 u=marwiesing n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************************************************************************************************************************************************
2025-02-19 15:14:38,745 p=12405 u=marwiesing n=ansible | ok: [localhost]
2025-02-19 15:14:38,771 p=12405 u=marwiesing n=ansible | ok: [ubuntu-02]
2025-02-19 15:14:38,779 p=12405 u=marwiesing n=ansible | ok: [ubuntu-01]
2025-02-19 15:14:38,791 p=12405 u=marwiesing n=ansible | ok: [rocky-01]
2025-02-19 15:14:38,830 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Load OS-specific vars.] **************************************************************************************************************************************************************************************************************************************
2025-02-19 15:14:38,885 p=12405 u=marwiesing n=ansible | ok: [ubuntu-01]
2025-02-19 15:14:38,901 p=12405 u=marwiesing n=ansible | ok: [ubuntu-02]
2025-02-19 15:14:38,917 p=12405 u=marwiesing n=ansible | ok: [localhost]
2025-02-19 15:14:38,917 p=12405 u=marwiesing n=ansible | ok: [rocky-01]
2025-02-19 15:14:38,925 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : include_tasks] ***********************************************************************************************************************************************************************************************************************************************
2025-02-19 15:14:38,974 p=12405 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:14:38,990 p=12405 u=marwiesing n=ansible | skipping: [ubuntu-02]
2025-02-19 15:14:39,004 p=12405 u=marwiesing n=ansible | skipping: [localhost]
2025-02-19 15:14:39,020 p=12405 u=marwiesing n=ansible | included: /home/marwiesing/.ansible/roles/geerlingguy.docker/tasks/setup-RedHat.yml for rocky-01
2025-02-19 15:14:39,031 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure old versions of Docker are not installed.] ************************************************************************************************************************************************************************************************************
2025-02-19 15:14:40,056 p=12405 u=marwiesing n=ansible | ok: [rocky-01]
2025-02-19 15:14:40,069 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Add Docker GPG key.] *****************************************************************************************************************************************************************************************************************************************
2025-02-19 15:14:40,645 p=12405 u=marwiesing n=ansible | ok: [rocky-01]
2025-02-19 15:14:40,656 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Add Docker repository.] **************************************************************************************************************************************************************************************************************************************
2025-02-19 15:14:41,227 p=12405 u=marwiesing n=ansible | ok: [rocky-01]
2025-02-19 15:14:41,237 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Configure Docker Nightly repo.] ******************************************************************************************************************************************************************************************************************************
2025-02-19 15:14:41,653 p=12405 u=marwiesing n=ansible | ok: [rocky-01]
2025-02-19 15:14:41,663 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Configure Docker Test repo.] *********************************************************************************************************************************************************************************************************************************
2025-02-19 15:14:41,994 p=12405 u=marwiesing n=ansible | ok: [rocky-01]
2025-02-19 15:14:42,005 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure runc is not installed.] *******************************************************************************************************************************************************************************************************************************
2025-02-19 15:14:42,040 p=12405 u=marwiesing n=ansible | skipping: [rocky-01]
2025-02-19 15:14:42,049 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure container-selinux is installed.] **********************************************************************************************************************************************************************************************************************
2025-02-19 15:14:42,083 p=12405 u=marwiesing n=ansible | skipping: [rocky-01]
2025-02-19 15:14:42,092 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure containerd.io is installed.] **************************************************************************************************************************************************************************************************************************
2025-02-19 15:14:42,126 p=12405 u=marwiesing n=ansible | skipping: [rocky-01]
2025-02-19 15:14:42,130 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : include_tasks] ***********************************************************************************************************************************************************************************************************************************************
2025-02-19 15:14:42,197 p=12405 u=marwiesing n=ansible | skipping: [rocky-01]
2025-02-19 15:14:42,235 p=12405 u=marwiesing n=ansible | included: /home/marwiesing/.ansible/roles/geerlingguy.docker/tasks/setup-Debian.yml for ubuntu-01, ubuntu-02, localhost
2025-02-19 15:14:42,246 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure apt key is not present in trusted.gpg.d] **************************************************************************************************************************************************************************************************************
2025-02-19 15:14:42,686 p=12405 u=marwiesing n=ansible | ok: [ubuntu-01]
2025-02-19 15:14:42,715 p=12405 u=marwiesing n=ansible | ok: [ubuntu-02]
2025-02-19 15:14:42,721 p=12405 u=marwiesing n=ansible | ok: [localhost]
2025-02-19 15:14:42,729 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure old apt source list is not present in /etc/apt/sources.list.d] ****************************************************************************************************************************************************************************************
2025-02-19 15:14:43,096 p=12405 u=marwiesing n=ansible | ok: [ubuntu-01]
2025-02-19 15:14:43,141 p=12405 u=marwiesing n=ansible | ok: [ubuntu-02]
2025-02-19 15:14:43,183 p=12405 u=marwiesing n=ansible | ok: [localhost]
2025-02-19 15:14:43,193 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure the repo referencing the previous trusted.gpg.d key is not present] ***********************************************************************************************************************************************************************************
2025-02-19 15:14:43,836 p=12405 u=marwiesing n=ansible | ok: [ubuntu-02]
2025-02-19 15:14:43,850 p=12405 u=marwiesing n=ansible | ok: [ubuntu-01]
2025-02-19 15:14:43,868 p=12405 u=marwiesing n=ansible | ok: [localhost]
2025-02-19 15:14:43,875 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure old versions of Docker are not installed.] ************************************************************************************************************************************************************************************************************
2025-02-19 15:14:44,721 p=12405 u=marwiesing n=ansible | ok: [ubuntu-01]
2025-02-19 15:14:44,763 p=12405 u=marwiesing n=ansible | ok: [ubuntu-02]
2025-02-19 15:14:44,875 p=12405 u=marwiesing n=ansible | ok: [localhost]
2025-02-19 15:14:44,881 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure dependencies are installed.] **************************************************************************************************************************************************************************************************************************
2025-02-19 15:14:45,830 p=12405 u=marwiesing n=ansible | ok: [ubuntu-02]
2025-02-19 15:14:45,860 p=12405 u=marwiesing n=ansible | ok: [ubuntu-01]
2025-02-19 15:14:46,036 p=12405 u=marwiesing n=ansible | ok: [localhost]
2025-02-19 15:14:46,043 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure directory exists for /etc/apt/keyrings] ***************************************************************************************************************************************************************************************************************
2025-02-19 15:14:46,384 p=12405 u=marwiesing n=ansible | ok: [ubuntu-01]
2025-02-19 15:14:46,432 p=12405 u=marwiesing n=ansible | ok: [ubuntu-02]
2025-02-19 15:14:46,516 p=12405 u=marwiesing n=ansible | ok: [localhost]
2025-02-19 15:14:46,522 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Add Docker apt key.] *****************************************************************************************************************************************************************************************************************************************
2025-02-19 15:14:46,993 p=12405 u=marwiesing n=ansible | ok: [ubuntu-01]
2025-02-19 15:14:47,077 p=12405 u=marwiesing n=ansible | ok: [ubuntu-02]
2025-02-19 15:14:47,181 p=12405 u=marwiesing n=ansible | changed: [localhost]
2025-02-19 15:14:47,189 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure curl is present (on older systems without SNI).] ******************************************************************************************************************************************************************************************************
2025-02-19 15:14:47,283 p=12405 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:14:47,293 p=12405 u=marwiesing n=ansible | skipping: [localhost]
2025-02-19 15:14:47,297 p=12405 u=marwiesing n=ansible | skipping: [ubuntu-02]
2025-02-19 15:14:47,302 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Add Docker apt key (alternative for older systems without SNI).] *********************************************************************************************************************************************************************************************
2025-02-19 15:14:47,362 p=12405 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:14:47,380 p=12405 u=marwiesing n=ansible | skipping: [localhost]
2025-02-19 15:14:47,399 p=12405 u=marwiesing n=ansible | skipping: [ubuntu-02]
2025-02-19 15:14:47,407 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Add Docker repository.] **************************************************************************************************************************************************************************************************************************************
2025-02-19 15:14:47,918 p=12405 u=marwiesing n=ansible | ok: [ubuntu-01]
2025-02-19 15:14:47,955 p=12405 u=marwiesing n=ansible | ok: [ubuntu-02]
2025-02-19 15:15:23,814 p=12405 u=marwiesing n=ansible | fatal: [localhost]: FAILED! => changed=false 
  msg: 'Failed to update apt cache: W:Updating from such a repository can''t be done securely, and is therefore disabled by default., W:See apt-secure(8) manpage for repository creation and user configuration details., E:The repository ''https://download.docker.com/linux/ubuntu xia Release'' does not have a Release file.'
2025-02-19 15:15:23,819 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Install Docker packages.] ************************************************************************************************************************************************************************************************************************************
2025-02-19 15:15:23,855 p=12405 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:15:23,856 p=12405 u=marwiesing n=ansible | skipping: [ubuntu-02]
2025-02-19 15:15:23,879 p=12405 u=marwiesing n=ansible | skipping: [rocky-01]
2025-02-19 15:15:23,890 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Install Docker packages (with downgrade option).] ************************************************************************************************************************************************************************************************************
2025-02-19 15:15:24,867 p=12405 u=marwiesing n=ansible | ok: [ubuntu-01]
2025-02-19 15:15:24,916 p=12405 u=marwiesing n=ansible | ok: [ubuntu-02]
2025-02-19 15:15:25,029 p=12405 u=marwiesing n=ansible | ok: [rocky-01]
2025-02-19 15:15:25,039 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Install docker-compose plugin.] ******************************************************************************************************************************************************************************************************************************
2025-02-19 15:15:25,110 p=12405 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:15:25,129 p=12405 u=marwiesing n=ansible | skipping: [rocky-01]
2025-02-19 15:15:25,140 p=12405 u=marwiesing n=ansible | skipping: [ubuntu-02]
2025-02-19 15:15:25,150 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Install docker-compose-plugin (with downgrade option).] ******************************************************************************************************************************************************************************************************
2025-02-19 15:15:26,151 p=12405 u=marwiesing n=ansible | ok: [ubuntu-01]
2025-02-19 15:15:26,208 p=12405 u=marwiesing n=ansible | ok: [ubuntu-02]
2025-02-19 15:15:26,357 p=12405 u=marwiesing n=ansible | ok: [rocky-01]
2025-02-19 15:15:26,362 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure /etc/docker/ directory exists.] ***********************************************************************************************************************************************************************************************************************
2025-02-19 15:15:26,430 p=12405 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:15:26,451 p=12405 u=marwiesing n=ansible | skipping: [ubuntu-02]
2025-02-19 15:15:26,472 p=12405 u=marwiesing n=ansible | skipping: [rocky-01]
2025-02-19 15:15:26,481 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Configure Docker daemon options.] ****************************************************************************************************************************************************************************************************************************
2025-02-19 15:15:26,528 p=12405 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:15:26,559 p=12405 u=marwiesing n=ansible | skipping: [ubuntu-02]
2025-02-19 15:15:26,571 p=12405 u=marwiesing n=ansible | skipping: [rocky-01]
2025-02-19 15:15:26,580 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure Docker is started and enabled at boot.] ***************************************************************************************************************************************************************************************************************
2025-02-19 15:15:27,273 p=12405 u=marwiesing n=ansible | ok: [ubuntu-01]
2025-02-19 15:15:27,274 p=12405 u=marwiesing n=ansible | ok: [ubuntu-02]
2025-02-19 15:15:27,301 p=12405 u=marwiesing n=ansible | ok: [rocky-01]
2025-02-19 15:15:27,307 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure handlers are notified now to avoid firewall conflicts.] ***********************************************************************************************************************************************************************************************
2025-02-19 15:15:27,318 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure handlers are notified now to avoid firewall conflicts.] ***********************************************************************************************************************************************************************************************
2025-02-19 15:15:27,325 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure handlers are notified now to avoid firewall conflicts.] ***********************************************************************************************************************************************************************************************
2025-02-19 15:15:27,334 p=12405 u=marwiesing n=ansible | TASK [geerlingguy.docker : include_tasks] ***********************************************************************************************************************************************************************************************************************************************
2025-02-19 15:15:27,398 p=12405 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:15:27,428 p=12405 u=marwiesing n=ansible | skipping: [rocky-01]
2025-02-19 15:15:27,432 p=12405 u=marwiesing n=ansible | skipping: [ubuntu-02]
